# http://finance.yahoo.com/quote/GOOG/history?ltr=1,,,,
# Open,High,Low,Volume,Close
1039.630005,1050.310059,1033.689941,-0.000595875,1040.47998
1035.5,1043.800049,1032.050049,0.003890046,1041.099976
1037.48999,1042.050049,1032.521973,0.00590135,1037.050049
1020.429993,1034.23999,1018.070984,0.012173521,1030.930054
1001.5,1024.969971,1001.140015,0.012991203,1018.380005
995.940002,1020.609985,988.280029,0.006436881,1005.150024
1012.659973,1016.099976,995.570007,-0.011505177,998.679993
1015.799988,1022.48999,1002.02002,-0.01112683,1010.169983
1022.369995,1028.48999,1015,-0.00024476,1021.409973
1042.680054,1044.079956,1015.650024,-0.02520414,1021.659973
1055.089966,1062.375,1040,-0.006492135,1047.410034
1040,1055.459961,1038.439941,0.012900633,1054.209961
1035.869995,1043.177979,1035,0.004468556,1040.609985
1035,1039.706055,1031.430054,0.001418946,1035.959961
1023.309998,1035.109985,1022.655029,0.015572877,1034.48999
1020.26001,1022.609985,1017.5,-0.000697207,1018.380005
1034.01001,1034.420044,1017.75,-0.013158772,1019.090027
1022.52002,1035.920044,1022.52002,0.011225208,1032.5
1019.210022,1024.089966,1015.419983,-0.004985775,1020.909973
1022.590027,1026.810059,1014.150024,0.000243665,1026
1023.419983,1031.579956,1022.570007,-0.002261707,1025.75
1026.459961,1030.76001,1025.280029,-0.003102964,1028.069946
1033.98999,1033.98999,1019.666016,-0.008329583,1031.26001
1030.52002,1043.521973,1028.449951,0.006270154,1039.849976
1027.27002,1033.969971,1025.130005,0.00719028,1033.329956
1028.98999,1034.869995,1025,-0.006413837,1025.900024
1022.109985,1032.650024,1020.309998,0.006682962,1032.47998
1021.76001,1028.089966,1013.01001,7.79617E-05,1025.579956
1017.210022,1029.670044,1016.950012,0.008639673,1025.5
1015.219971,1024,1010.419983,-0.000462278,1016.640015
1014,1024.969971,1007.5,-0.002123699,1017.109985
1009.190002,1048.390015,1008.200012,0.045826936,1019.27002
980,987.599976,972.200012,-0.000791744,972.559998
968.369995,976.090027,960.52002,0.002866488,973.330017
970,972.22998,961,0.002153405,970.539978
989.52002,989.52002,966.119995,-0.020393412,968.450012
989.440002,991,984.580017,0.003794778,988.200012
986,988.880005,978.390015,-0.008492037,984.450012
991.77002,996.719971,986.974976,0.000634568,992.809998
990.289978,996.440002,988.590027,0.000181412,992.179993
992.099976,993.906982,984,0.002338717,992
992,997.210022,989,0.001869267,989.679993
987.450012,994.119995,985,-0.001437477,987.830017
973.719971,990.710022,972.25,0.016830957,989.25
980,981.570007,966.080017,-0.004523981,972.599976
980,985.424988,976.109985,-0.001934509,977
966.700012,979.460022,963.359985,0.00912257,978.890015
955.48999,970.909973,955.179993,0.018846167,969.960022
957,960.390015,950.690002,-0.00642021,951.679993
954,958,949.140015,0.004719154,957.789978
959.97998,962.539978,947.840027,-0.006126244,953.27002
952,959.786011,951.51001,0.01001969,959.109985
941.359985,950.690002,940.549988,0.005276472,949.5
927.73999,949.900024,927.73999,0.020783709,944.48999
923.719971,930.820007,921.140015,0.004206057,924.859985
925.450012,926.400024,909.700012,-0.0082088,920.969971
927.75,934.72998,926.47998,-0.004221708,928.530029
933,936.530029,923.830017,0.000933021,932.450012
922.97998,933.880005,922,0.010487579,931.580017
917.419983,922.419983,912.549988,0.007387637,921.809998
920.01001,922.080017,910.599976,-0.005781397,915
924.659973,926.48999,916.359985,-0.005237487,920.289978
931.25,932.77002,924,-0.010787952,925.109985
930.659973,937.25,929.859985,0.003229657,935.090027
932.590027,933.47998,923.861023,0.003207903,932.070007
934.25,938.380005,926.919983,0.002776959,929.080017
936.48999,936.98999,924.880005,-0.010199689,926.5
931.72998,936.409973,923.619995,0.008697061,935.950012
930.150024,930.914978,919.27002,-0.000689811,927.809998
